logFC	AveExpr	t	P.Value	adj.P.Val	B
MGP_DBA2J_G0034614	-1.72194895729532	1.30751147645251	-24.3419226435045	1.26124357471518e-28	4.88521677939681e-26	54.7108068608689
MGP_DBA2J_G0025023	0.505744909422817	5.07899391798904	24.1351866043725	1.84143459781599e-28	6.92271089096589e-26	54.7036075423845
MGP_DBA2J_G0035350	-1.51284637720671	3.94555373509955	-23.951820932437	2.58190354898407e-28	9.41128856687723e-26	54.3991618998676
MGP_DBA2J_G0023902	-0.84233286981182	3.29631883391612	-23.937613582152	2.65065238935675e-28	9.41128856687723e-26	54.3742892715147
MGP_DBA2J_G0017554	-0.96438426660868	3.84685612831775	-23.8663574840212	3.0246816520004e-28	1.04105166723694e-25	54.2405505191135
MGP_DBA2J_G0031146	0.608982145560005	7.53712491942899	23.8539742000955	3.09497444492284e-28	1.04105166723694e-25	54.1691183468327
MGP_DBA2J_G0034484	1.49625684580983	4.66708568811491	23.7490752957508	3.76142368374893e-28	1.23278250065843e-25	54.004046313212
MGP_DBA2J_G0022560	0.645657585437318	4.2893634465908	23.6528448814486	4.50119247666466e-28	1.43835605591819e-25	53.8298301142728
MGP_DBA2J_G0023674	-1.04178810925776	3.55147952307846	-23.5144578180901	5.83356311783371e-28	1.81864887249148e-25	53.5889762596421
MGP_DBA2J_G0025102	-0.988244525449944	3.54634498450471	-23.4450921989926	6.64641930059609e-28	2.02272694048141e-25	53.4588101641086
MGP_DBA2J_G0018146	1.28078418626351	2.35268565188155	23.3820286369314	7.48543763988474e-28	2.18327224996814e-25	53.2836145681351
MGP_DBA2J_G0030946	0.85694193066946	5.55476246139763	23.3799002157436	7.51556712553576e-28	2.18327224996814e-25	53.2826742196998
MGP_DBA2J_G0023367	2.13927421206348	6.23676085383928	23.3137263418745	8.51663495502926e-28	2.36651365206922e-25	53.1564877816627
MGP_DBA2J_G0016489	0.756712321333125	5.29427335780707	23.2906554688716	8.89676022013318e-28	2.41954019433494e-25	53.1172157481594
MGP_DBA2J_G0033652	1.0865769199903	4.65863979038706	23.2236274257672	1.010223645401e-27	2.66834234961464e-25	53.0096655025122
MGP_DBA2J_G0032319	0.866637030111633	4.24391738824322	23.2170515308906	1.02291327750835e-27	2.66834234961464e-25	53.0095678386246
MGP_DBA2J_G0029593	-0.838148419610856	5.22911038057436	-23.2020960462716	1.05238147022807e-27	2.69030799049104e-25	52.9511760113472
MGP_DBA2J_G0020209	-2.6432677589058	1.15594971794761	-23.3350941462718	8.1793379532629e-28	2.32329550485792e-25	52.7082747368044
MGP_DBA2J_G0017093	1.31825192128738	3.45959113641273	22.9137913340102	1.82500014336829e-27	4.57395133971244e-25	52.4524495606375
