logFC	AveExpr	t	P.Value	adj.P.Val	B
MGP_DBA2J_G0020424	0.439901048114008	6.33231335513865	37.0700045421732	6.80047191670213e-38	5.26648745024624e-35	76.377650732694
MGP_DBA2J_G0016313	-0.670072683409754	6.2281212282333	-37.0638094553877	6.85528026127633e-38	5.26648745024624e-35	76.3688817018185
MGP_DBA2J_G0035898	-0.698516740449393	4.75042153381223	-36.9299493436476	8.15615019047016e-38	5.98105322831159e-35	76.1261496953161
MGP_DBA2J_G0028985	1.93113122863616	3.58378257658559	36.7742780501243	9.98991078882884e-38	7.00727090244242e-35	75.4667599419366
MGP_DBA2J_G0025187	0.869126119258471	5.62335349393007	36.1709123655414	2.20925164963244e-37	1.42567427454081e-34	75.1947756165018
MGP_DBA2J_G0016805	0.955440249212779	5.32589113161327	35.7026350943876	4.12530408500955e-37	2.55975118474842e-34	74.5641498770091
MGP_DBA2J_G0032979	1.08187571932435	2.96628665230065	36.2269688526349	2.05115134286779e-37	1.37880102560359e-34	74.4857144954989
MGP_DBA2J_G0017840	0.728736334590023	6.41368763503027	35.2548765972991	7.54888400178264e-37	4.51059798521331e-34	73.9745555521161
MGP_DBA2J_G0032797	0.807989334854932	6.59332923902696	34.4329446945538	2.33199712252206e-36	1.29731412336719e-33	72.845724886753
MGP_DBA2J_G0029276	-0.544279861726791	5.7623261168553	-34.3986276278499	2.44575842560053e-36	1.31524735600711e-33	72.8013931237902
MGP_DBA2J_G0020688	0.603262132783262	9.8843176160187	34.3411312580277	2.64919359333533e-36	1.37869162068641e-33	72.6900732776043
MGP_DBA2J_G0032691	0.697158206857657	9.30827557637866	34.1529322613461	3.44405863380073e-36	1.71108534166021e-33	72.431804685906
MGP_DBA2J_G0026006	0.427744345343323	8.37202236728942	34.1414028996118	3.50001960421415e-36	1.71108534166021e-33	72.4242662818549
MGP_DBA2J_G0026772	1.4535796077984	4.74087314487115	33.9728389651379	4.43262939347996e-36	2.10328264720624e-33	72.1636884938961
MGP_DBA2J_G0029772	0.545539292995104	7.12923582993358	33.9442864241806	4.61408214582202e-36	2.12682820738705e-33	72.1578408463025
MGP_DBA2J_G0021360	1.53213718991397	6.26680968811027	33.9226018447084	4.75693392014455e-36	2.13176708149144e-33	72.1362112957739
MGP_DBA2J_G0022507	0.686755983358041	5.93230346765931	33.8354172212564	5.37830529021136e-36	2.34508646613459e-33	72.0142308203839
MGP_DBA2J_G0019033	0.455539954132542	5.48159568981078	33.8053504377669	5.61128408443412e-36	2.38228542458357e-33	71.9717809268022
MGP_DBA2J_G0020652	1.42877399912077	8.01711190710445	33.6853996190179	6.64791905690797e-36	2.75002251654093e-33	71.7841410870842
MGP_DBA2J_G0021719	1.47065091674725	4.78716349989234	33.6388824749701	7.10071043502714e-36	2.86389403620732e-33	71.7016943342195
MGP_DBA2J_G0033857	2.07479825885745	2.39814556222247	34.4897865288133	2.15529531458583e-36	1.24183497536476e-33	71.4808976448128
MGP_DBA2J_G0020893	0.823959886660465	5.27939206058072	33.4154238896197	9.75608172279637e-36	3.74749681985414e-33	71.417421403353
MGP_DBA2J_G0020433	1.4279894632238	3.29068438193323	33.6069113154794	7.43003139484353e-36	2.92362674373197e-33	71.2520438216152
MGP_DBA2J_G0005068	-0.612823753626162	5.0724379384692	-33.2726753213067	1.19635018641794e-35	4.48853896685597e-33	71.2102886268213
