sampleShort	sample	treatment	strain	color	sample_GATK	Sample_Name
LB62nsd	LB62nsd	NSD	B62	blue	C57BL6	GSM3151629
LB62sd	LB62sd	SD	B62	darkred	C57BL6	GSM3151630
LBDnsd	LBDnsd	NSD	BD	blue	B6D2F1	GSM3151631
LBDsd	LBDsd	SD	BD	darkred	B6D2F1	GSM3151632
LDB1nsd	LDB1nsd	NSD	DB1	blue	DBA2J	GSM3151633
LDB1sd	LDB1sd	SD	DB1	darkred	DBA2J	GSM3151634
LDB2nsd	LDB2nsd	NSD	DB2	blue	DBA2J	GSM3151635
LDB2sd	LDB2sd	SD	DB2	darkred	DBA2J	GSM3151636
LDBnsd	LDBnsd	NSD	DB	blue	D2B6F1	GSM3151637
LDBsd	LDBsd	SD	DB	darkred	D2B6F1	GSM3151638
