logFC	AveExpr	t	P.Value	adj.P.Val	B
Samd4b	0.577576156664754	6.47992817876957	35.5758052630697	2.72958231095837e-38	1.49660356578579e-35	77.2460944864005
Zfyve28	-0.54597020414415	5.70210416134087	-35.2709856214778	4.20377646293746e-38	2.20327114775223e-35	76.8160935489811
Mical2	0.696696711483082	9.26044420760744	35.2587325653295	4.27769299734209e-38	2.20327114775223e-35	76.7752940029332
Mfsd4a	-0.673258835962907	6.16847797086973	-35.213680837918	4.56103742780067e-38	2.28011626942141e-35	76.7343525632443
Sbk1	0.806297991195451	6.53304186937971	34.8163737893381	8.05629721824343e-38	3.91236810909953e-35	76.1632951687866
Cbln4	1.45222513147822	4.68056365648597	34.7408799029766	8.9820500995095e-38	4.24077515392675e-35	76.0119747636284
Cbfa2t3	0.77615761747422	5.29401066617958	34.6415454305278	1.03675822911488e-37	4.76264314061233e-35	75.9115373207072
Rundc1	0.453669502944888	5.42135606706925	34.5524854626435	1.17943773619998e-37	5.27550084268186e-35	75.7854406257444
Syt13	0.426046896041826	8.3117972418254	34.5202675142147	1.23584805288977e-37	5.38607932178651e-35	75.7186975140068
Enc1	0.601541523665323	9.82503806926834	34.4099704142433	1.45063863305604e-37	6.16412621151337e-35	75.5438206458441
Mlec	0.543350149915438	7.07591880171733	34.3728939122356	1.53108519048065e-37	6.34728170307309e-35	75.5154683902055
Dnajb11	0.685155193313526	5.87205161989788	34.3107991548785	1.67613203413566e-37	6.78314671052473e-35	75.43498821366
Homer1	1.33210917409731	8.10143677769565	34.2586287588067	1.80877671472063e-37	7.14971577211779e-35	75.3390506308603
Trib1	1.46983213286557	4.73220753171009	34.2213896211814	1.90995580855259e-37	7.37807247226555e-35	75.2701110906825
Pdia3	0.679660577458401	7.67025314884702	34.0837823817785	2.33656271922888e-37	8.63359924755071e-35	75.0860636716547
Cirbp	-1.20038770115903	5.80132374001979	-33.9367017606277	2.90079921819328e-37	1.04904009173683e-34	74.8877772925069
1700001L05Rik	-1.43773186213607	2.53950750474695	-34.1653185753017	2.07329043000888e-37	7.83104831974688e-35	74.304504878668
Klhl3	0.556369043428912	6.31003932175455	33.5347036055164	5.26242450126101e-37	1.82541692342721e-34	74.2863710436752
Hsp90b1	0.732896726884848	8.49424826154948	33.3425118005653	7.01221106778066e-37	2.38373103038136e-34	73.9739133552077
Pnma3	-0.654518868254574	4.3400780729477	-33.0012286451714	1.17181428954736e-36	3.90535832930126e-34	73.4526919785892
Plekhg4	2.07241105429246	2.34799917506491	33.6735644803668	4.28071361015405e-37	1.51581852566226e-34	73.2374186408978
Atp11b	-0.569060603575659	7.3214473070425	-32.7919813667138	1.60926406554639e-36	5.26012717732538e-34	73.1535491313043
Dio2	1.40707716675497	7.03985128399262	32.7347465418317	1.75569871670125e-36	5.63049265807001e-34	73.0709669974558
Dnajc3	0.644798305327431	6.09521902186692	32.6426533800559	2.02038693792031e-36	6.35935495996878e-34	72.941988202963
Gfod1	0.713667778790615	7.57415537787438	32.612192953012	2.11660590429432e-36	6.50148229537357e-34	72.8753515065632
