logFC	AveExpr	t	P.Value	adj.P.Val	B
Lman2l	0.902528986909922	4.2328176366678	24.8760784044978	9.94854961693646e-30	3.77305850329185e-27	57.6170660933504
Twnk	0.505306289765896	4.9518742528327	24.5161304016346	1.94719990319788e-29	7.17975875418018e-27	56.9350896252848
Rbm3	-1.49443032243457	3.77137265416909	-24.1549870176781	3.8522282934916e-29	1.34564416757388e-26	56.2674441192276
1810046K07Rik	-1.72332703399524	1.18032396963815	-24.3112979226776	2.86423139720305e-29	1.02756236666144e-26	55.9961513500006
Syt1	-0.964854961090398	3.7205606861836	-23.9903996041134	5.27223260097554e-29	1.79445168064998e-26	55.9555520518984
Ncbp2	0.645105609773051	4.15423817180637	23.9733711401688	5.44677715563832e-29	1.80751299909858e-26	55.9197318652418
Mgme1	0.733695160274303	3.10252489535089	23.8361244957339	7.08690863624823e-29	2.27218438412468e-26	55.6478850102958
Creld1	0.856712921630569	5.4273919178131	23.8286589243244	7.18937352216637e-29	2.27218438412468e-26	55.620666158474
Cacybp	0.755515194195344	5.15518273531183	23.748797834374	8.38461427165467e-29	2.529485678226e-26	55.4696547322588
P4ha2	1.28335476698105	2.22219281702339	23.7596074482369	8.2116680808138e-29	2.529485678226e-26	55.390928162341
Fkbp4	0.60881209152301	7.40982713390668	23.6345770624106	1.04554088791835e-28	3.0841132769396e-26	55.240485905204
Angptl4	2.13884815945912	6.10956101712219	23.5975245846574	1.12336353756018e-28	3.24163643425519e-26	55.1724913234456
Hikeshi	0.857239406571081	4.09986085932124	23.3457912026394	1.83419363752443e-28	5.18023113712751e-26	54.7078517685793
Dnajb1	1.08676071013309	4.53523973781043	23.3339901529926	1.87704206282859e-28	5.19080340458055e-26	54.6763806460504
Vti1a	-0.834961861331599	3.54825813173014	-23.3094064951513	1.969606306769e-28	5.23004357318662e-26	54.6422658271586
Hnrnpd	-0.838493113232725	5.10343282664204	-23.3092959205253	1.97003298673596e-28	5.23004357318662e-26	54.6150125535225
Sort1	-1.26419025013088	4.75242295630715	-23.2703336123254	2.12639588164387e-28	5.53446645743935e-26	54.548865133868
Mta3	-0.838785138908051	3.1329424408557	-23.1962978117144	2.45924967780113e-28	6.27770773521774e-26	54.414108071026
Kif1bp	0.521120965652482	3.86137548131185	23.001375460897	3.61322052580422e-28	8.88183134435651e-26	54.0340820079403
P4ha1	1.31709786190166	3.3319008333036	22.9289243301819	4.17159087454667e-28	1.00679449579514e-25	53.8924728535444
Pfkfb3	1.98176209672796	5.16177206932153	22.8485475168813	4.89471998415544e-28	1.16022344767284e-25	53.7115732558936
Ripor2	-2.64030676314904	0.988372839042801	-23.0729867058164	3.13596443978251e-28	7.85411169314586e-26	53.4312398834353
Zfp512b	-0.927484943584758	4.0498322973231	-22.6987813027097	6.60133480495185e-28	1.52197966782518e-25	53.429549223086
Gm37254	0.937976066667238	2.17447754809716	22.6950985491694	6.65020496714334e-28	1.52197966782518e-25	53.3432224551158
Hspa4l	1.3448575555262	3.3455118490378	22.5798514214393	8.38098850748408e-28	1.87392670219558e-25	53.1988041906242
Uck2	0.680130499120525	3.67217544374586	22.5745781685766	8.47036327646035e-28	1.87392670219558e-25	53.1867911085203
Nmnat3	-0.849155186441265	2.50476797666505	-22.5233850990158	9.39012341589687e-28	2.04335242987894e-25	53.0466607197027
Fbxo3	-0.497659667671878	6.9203749540857	-22.4389762811205	1.11345324576438e-27	2.3838674813349e-25	52.8629427506577
Nadk	0.437863591822794	7.70923992175193	22.3362137264872	1.37111367349986e-27	2.88891474635511e-25	52.6584033241388
Snap29	0.486167947735723	5.31449108854858	22.2891512420931	1.5086523939453e-27	3.12903935581718e-25	52.5660742361072
Pspc1	-1.04339092559311	2.71218682409256	-22.2663229097095	1.5803487509813e-27	3.17841656371602e-25	52.5477934042238
Ccdc117	0.743281678710807	4.8610565856412	22.2671641185064	1.57764619901247e-27	3.17841656371602e-25	52.532510666051
Gsap	-0.767634977981314	4.9176711230905	-22.1571780297765	1.97421007975306e-27	3.91129322367792e-25	52.3068212016765
Mxd4	0.474668924714836	6.39090467950074	22.0253509458343	2.58606256789033e-27	5.04814625384944e-25	52.0153719561881
Tmem63b	-0.601718729566549	5.81702228970155	-21.8698305797087	3.56202847006986e-27	6.75462370167248e-25	51.6969724034619
Dnaja1	0.583251330513506	7.1141854849398	21.8377493312455	3.80612599515021e-27	7.11584738867941e-25	51.6284055194535
St13	0.398085170519397	7.76473844271141	21.6510909807744	5.6060091409353e-27	1.01937212790103e-24	51.2438227719479
Gm5626	-1.26577239740204	0.642725624467396	-21.9004156614981	3.34415297323881e-27	6.43337486474956e-25	51.2037062710216
Tbc1d8	1.26772293553439	3.63518966679068	21.5217000497079	7.34381460548394e-27	1.31732155504316e-24	51.0327600171813
Gnat1	-1.47764710036424	3.06417227690963	-21.2609531068165	1.27052392394102e-26	2.19025124238871e-24	50.4909879417524
Thap2	0.724430262026681	3.91132716909246	21.2612131653089	1.26982608226933e-26	2.19025124238871e-24	50.4737878976689
Snrnp48	0.819023872377075	3.62985283076119	21.2480776078315	1.30556672947469e-26	2.22180676500604e-24	50.455941349226
Rab3ip	0.425309163620213	4.88780668869448	21.232122886138	1.35035886786011e-26	2.26894476100951e-24	50.3744160849325
5930430L01Rik	-1.85058476556	0.0483605024980873	-21.6855332052642	5.218365004719e-27	9.62063570453333e-25	50.2568873858269
Gm42604	-1.34257383972807	1.50503236547792	-21.1895923830138	1.47756094675483e-26	2.45164300090295e-24	50.1490782833344
Dis3l2	-0.526721712239166	3.94615876342057	-21.1036842595423	1.77300295382654e-26	2.90553595173993e-24	50.1374669261414
Hnrnpdl	-0.634832168705009	4.78018439441399	-21.0730150874246	1.89249060816882e-26	3.06352686985768e-24	50.040594772247
Ldah	0.479956720791022	5.84858660281363	21.0622514019875	1.93634303040582e-26	3.09674908260324e-24	49.9936573347096
Zfp687	-0.702231991192901	3.41007186943889	-21.0020451925855	2.20142806507461e-26	3.47878049235718e-24	49.9398475237319
Ermard	-0.642362821025855	2.20658048155846	-20.6441621914607	4.74893376656302e-26	7.24567204797213e-24	49.1491354989395
Masp1	-0.580076789971498	7.73714667237992	-20.6531945115737	4.65706950385666e-26	7.18813262723178e-24	49.1148317593477
Sc5d	-1.06199094918195	9.15913785497317	-20.5899945363007	5.33990846593403e-26	8.05476647463731e-24	48.9927692576311
Hist1h2be	2.44148931965934	-0.694959137365185	21.3903316710904	9.67314155342784e-27	1.71201707973602e-24	48.8622683712446
